timestamp,serial,id,JOINT_WAIST.x,JOINT_WAIST.y,JOINT_WAIST.z,JOINT_TORSO.x,JOINT_TORSO.y,JOINT_TORSO.z,JOINT_TORSO.rot,JOINT_NECK.x,JOINT_NECK.y,JOINT_NECK.z,JOINT_NECK.rot,JOINT_HEAD.x,JOINT_HEAD.y,JOINT_HEAD.z,JOINT_RIGHT_COLLAR.x,JOINT_RIGHT_COLLAR.y,JOINT_RIGHT_COLLAR.z,JOINT_LEFT_COLLAR.x,JOINT_LEFT_COLLAR.y,JOINT_LEFT_COLLAR.z,JOINT_LEFT_SHOULDER.x,JOINT_LEFT_SHOULDER.y,JOINT_LEFT_SHOULDER.z,JOINT_LEFT_SHOULDER.rot,JOINT_LEFT_ELBOW.x,JOINT_LEFT_ELBOW.y,JOINT_LEFT_ELBOW.z,JOINT_LEFT_ELBOW.rot,JOINT_LEFT_WRIST.x,JOINT_LEFT_WRIST.y,JOINT_LEFT_WRIST.z,JOINT_LEFT_HAND.x,JOINT_LEFT_HAND.y,JOINT_LEFT_HAND.z,JOINT_RIGHT_SHOULDER.x,JOINT_RIGHT_SHOULDER.y,JOINT_RIGHT_SHOULDER.z,JOINT_RIGHT_SHOULDER.rot,JOINT_RIGHT_ELBOW.x,JOINT_RIGHT_ELBOW.y,JOINT_RIGHT_ELBOW.z,JOINT_RIGHT_ELBOW.rot,JOINT_RIGHT_WRIST.x,JOINT_RIGHT_WRIST.y,JOINT_RIGHT_WRIST.z,JOINT_RIGHT_HAND.x,JOINT_RIGHT_HAND.y,JOINT_RIGHT_HAND.z,JOINT_LEFT_HIP.x,JOINT_LEFT_HIP.y,JOINT_LEFT_HIP.z,JOINT_LEFT_HIP.rot,JOINT_LEFT_KNEE.x,JOINT_LEFT_KNEE.y,JOINT_LEFT_KNEE.z,JOINT_LEFT_KNEE.rot,JOINT_LEFT_ANKLE.x,JOINT_LEFT_ANKLE.y,JOINT_LEFT_ANKLE.z,JOINT_RIGHT_HIP.x,JOINT_RIGHT_HIP.y,JOINT_RIGHT_HIP.z,JOINT_RIGHT_HIP.rot,JOINT_RIGHT_KNEE.x,JOINT_RIGHT_KNEE.y,JOINT_RIGHT_KNEE.z,JOINT_RIGHT_KNEE.rot,JOINT_RIGHT_ANKLE.x,JOINT_RIGHT_ANKLE.y,JOINT_RIGHT_ANKLE.z
12031205681722,020936151947,1,-0.206798,0.275222,2.26645,-0.211773,0.456146,2.30651,177.526,-0.206186,0.812409,2.31051,173.54,-0.190486,0.933981,2.32978,-0.207508,0.728081,2.30956,-0.207508,0.728081,2.30956,-0.0516767,0.701682,2.35014,113.643,0.0156831,0.432073,2.37447,162.761,0.00548296,0.250294,2.18439,0.00344293,0.213938,2.14638,-0.366211,0.711138,2.26761,108.783,-0.426723,0.442382,2.22371,157.38,-0.392142,0.244872,2.05322,-0.385226,0.20537,2.01912,-0.107358,0.195487,2.26502,138.504,-0.0409977,-0.189509,2.12284,171.041,-0.0348706,-0.617121,2.08386,-0.306972,0.202168,2.25015,121.802,-0.279624,-0.161552,2.05065,174.593,-0.287585,-0.573651,1.93015
12031206021467,020936151947,1,-0.200669,0.266176,2.26931,-0.204761,0.451026,2.31021,177.882,-0.19946,0.808231,2.31662,173.889,-0.184634,0.929654,2.33699,-0.200713,0.723819,2.31511,-0.200713,0.723819,2.31511,-0.043926,0.697372,2.35291,113.951,0.0244251,0.43071,2.38191,162.26,0.0139003,0.251606,2.19103,0.0117953,0.215785,2.15286,-0.359512,0.707203,2.27219,107.043,-0.411936,0.439238,2.22672,161.124,-0.384382,0.238269,2.06096,-0.378872,0.198075,2.0278,-0.101266,0.192589,2.26846,135.195,-0.0418186,-0.19667,2.13205,172.319,-0.0343764,-0.622182,2.07631,-0.302528,0.202539,2.25388,117.147,-0.27176,-0.160163,2.05099,172.937,-0.28767,-0.571721,1.93021
12031206351383,020936151947,1,-0.192879,0.257552,2.27167,-0.196204,0.445485,2.31371,178.278,-0.191779,0.803103,2.32225,174.468,-0.178514,0.92441,2.34412,-0.192824,0.718607,2.32023,-0.192824,0.718607,2.32023,-0.0349566,0.694486,2.36074,113.678,0.0359025,0.429855,2.38358,162.338,0.0274107,0.247889,2.19663,0.0257123,0.211495,2.15924,-0.352924,0.703018,2.27881,105.293,-0.398674,0.436251,2.2307,161.587,-0.367584,0.232649,2.07034,-0.361366,0.191929,2.03827,-0.0943747,0.188785,2.27338,132.405,-0.0427706,-0.203932,2.14104,173.778,-0.0334251,-0.627418,2.0683,-0.295717,0.201777,2.25821,113.738,-0.265818,-0.159114,2.0502,172.226,-0.287688,-0.571193,1.93007
12031206681543,020936151947,1,-0.179009,0.251508,2.27463,-0.184283,0.441531,2.31918,178.141,-0.182605,0.799137,2.32972,174.144,-0.169605,0.920282,2.35263,-0.183002,0.714555,2.32723,-0.183002,0.714555,2.32723,-0.0238831,0.693631,2.3693,111.709,0.0434101,0.428026,2.38575,165.152,0.0413562,0.241535,2.2041,0.0409454,0.204237,2.16777,-0.343293,0.699425,2.28359,103.991,-0.383679,0.432347,2.23477,162.282,-0.350625,0.226427,2.07894,-0.344014,0.185242,2.04777,-0.0795445,0.190354,2.27945,126.462,-0.0456831,-0.206393,2.1509,176.963,-0.0320986,-0.629067,2.06784,-0.281304,0.200586,2.2592,113.45,-0.262298,-0.160368,2.04842,173.456,-0.287786,-0.573568,1.92861
12031207023241,020936151947,1,-0.169641,0.246472,2.28039,-0.174424,0.438413,2.32627,178.047,-0.171145,0.795943,2.33758,174.597,-0.158579,0.916961,2.36154,-0.171921,0.711273,2.33491,-0.171921,0.711273,2.33491,-0.0135525,0.689616,2.37998,113.367,0.0603436,0.424602,2.39099,162.311,0.0534467,0.237296,2.20382,0.0520673,0.199834,2.16639,-0.332149,0.697827,2.28871,102.279,-0.367419,0.429281,2.23917,164.693,-0.338483,0.218717,2.0811,-0.332696,0.176604,2.04948,-0.0708301,0.187762,2.29037,124.386,-0.0454609,-0.20792,2.15436,178.343,-0.0308708,-0.623349,2.0698,-0.272704,0.20031,2.26428,112.181,-0.260497,-0.15878,2.04839,174.293,-0.287212,-0.5653,1.93019
12031207352036,020936151947,1,-0.160548,0.243458,2.28638,-0.165425,0.436801,2.33402,177.811,-0.160788,0.794081,2.34532,174.809,-0.148207,0.915104,2.36953,-0.161888,0.709319,2.34264,-0.161888,0.709319,2.34264,-0.00338951,0.686913,2.38811,113.449,0.0699585,0.420676,2.40044,164.139,0.068457,0.232716,2.20991,0.0681567,0.195124,2.1718,-0.320923,0.695067,2.29391,103.204,-0.359198,0.425578,2.24569,162.979,-0.325925,0.214009,2.08518,-0.31927,0.171696,2.05308,-0.0610467,0.18894,2.29424,120.981,-0.0453276,-0.208976,2.16117,179.956,-0.0295018,-0.617967,2.07211,-0.263083,0.199777,2.26878,112.232,-0.257814,-0.158819,2.05044,175.038,-0.286666,-0.55936,1.93132
12031207681560,020936151947,1,-0.151539,0.241398,2.29282,-0.156488,0.435996,2.34151,177.874,-0.152323,0.792843,2.35399,174.246,-0.138712,0.913759,2.37854,-0.153313,0.707992,2.35102,-0.153313,0.707992,2.35102,0.00527014,0.685333,2.39687,114.245,0.0820169,0.419664,2.4119,161.447,0.0740394,0.232465,2.21827,0.0724439,0.195025,2.17954,-0.311509,0.693488,2.29902,103.074,-0.348692,0.42328,2.25105,163.451,-0.315927,0.209501,2.09034,-0.309374,0.166746,2.0582,-0.0519414,0.189999,2.30052,118.453,-0.0439004,-0.208677,2.16695,178.901,-0.0277055,-0.620005,2.07339,-0.253941,0.199995,2.27658,112.218,-0.255209,-0.157613,2.05531,175.732,-0.286663,-0.559813,1.931
12031208021594,020936151947,1,-0.143706,0.239887,2.29871,-0.148428,0.435702,2.34762,178.336,-0.146671,0.792104,2.3608,173.603,-0.132497,0.913134,2.38492,-0.14709,0.707155,2.35766,-0.14709,0.707155,2.35766,0.010611,0.684182,2.40629,113.994,0.085605,0.417493,2.41479,163.84,0.0840844,0.225686,2.22433,0.0837803,0.187325,2.18624,-0.305273,0.692503,2.30267,101.817,-0.33622,0.421952,2.25106,165.228,-0.304936,0.2061,2.09139,-0.29868,0.162929,2.05946,-0.0444418,0.189455,2.30761,117.457,-0.0408099,-0.208092,2.16861,178.515,-0.0263109,-0.621498,2.07496,-0.246063,0.199245,2.28392,112.565,-0.251742,-0.158829,2.06227,175.959,-0.286579,-0.561122,1.93253
12031208021594,020936151947,1,-0.143706,0.239887,2.29871,-0.148428,0.435702,2.34762,178.336,-0.146671,0.792104,2.3608,173.603,-0.132497,0.913134,2.38492,-0.14709,0.707155,2.35766,-0.14709,0.707155,2.35766,0.010611,0.684182,2.40629,113.994,0.085605,0.417493,2.41479,163.84,0.0840844,0.225686,2.22433,0.0837803,0.187325,2.18624,-0.305273,0.692503,2.30267,101.817,-0.33622,0.421952,2.25106,165.228,-0.304936,0.2061,2.09139,-0.29868,0.162929,2.05946,-0.0444418,0.189455,2.30761,117.457,-0.0408099,-0.208092,2.16861,178.515,-0.0263109,-0.621498,2.07496,-0.246063,0.199245,2.28392,112.565,-0.251742,-0.158829,2.06227,175.959,-0.286579,-0.561122,1.93253
12031208681596,020936151947,1,-0.131312,0.238402,2.30827,-0.135689,0.435836,2.35862,179.034,-0.137579,0.791526,2.37105,173.128,-0.123633,0.912662,2.39587,-0.137127,0.706369,2.36808,-0.137127,0.706369,2.36808,0.0208735,0.685621,2.42002,112.885,0.0945137,0.418344,2.4243,165.799,0.0986101,0.223243,2.23728,0.0994293,0.184222,2.19987,-0.294415,0.690396,2.30863,101.371,-0.320782,0.42011,2.2527,164.673,-0.283131,0.201112,2.09882,-0.275601,0.157312,2.06804,-0.0315948,0.189428,2.31317,115.716,-0.0346547,-0.208471,2.17153,178.105,-0.0240854,-0.62465,2.0758,-0.233882,0.199033,2.29483,112.571,-0.243838,-0.163402,2.07818,175.528,-0.286191,-0.56334,1.93417
