timestamp,serial,id,JOINT_WAIST.x,JOINT_WAIST.y,JOINT_WAIST.z,JOINT_TORSO.x,JOINT_TORSO.y,JOINT_TORSO.z,JOINT_TORSO.rot,JOINT_NECK.x,JOINT_NECK.y,JOINT_NECK.z,JOINT_NECK.rot,JOINT_HEAD.x,JOINT_HEAD.y,JOINT_HEAD.z,JOINT_RIGHT_COLLAR.x,JOINT_RIGHT_COLLAR.y,JOINT_RIGHT_COLLAR.z,JOINT_LEFT_COLLAR.x,JOINT_LEFT_COLLAR.y,JOINT_LEFT_COLLAR.z,JOINT_LEFT_SHOULDER.x,JOINT_LEFT_SHOULDER.y,JOINT_LEFT_SHOULDER.z,JOINT_LEFT_SHOULDER.rot,JOINT_LEFT_ELBOW.x,JOINT_LEFT_ELBOW.y,JOINT_LEFT_ELBOW.z,JOINT_LEFT_ELBOW.rot,JOINT_LEFT_WRIST.x,JOINT_LEFT_WRIST.y,JOINT_LEFT_WRIST.z,JOINT_LEFT_HAND.x,JOINT_LEFT_HAND.y,JOINT_LEFT_HAND.z,JOINT_RIGHT_SHOULDER.x,JOINT_RIGHT_SHOULDER.y,JOINT_RIGHT_SHOULDER.z,JOINT_RIGHT_SHOULDER.rot,JOINT_RIGHT_ELBOW.x,JOINT_RIGHT_ELBOW.y,JOINT_RIGHT_ELBOW.z,JOINT_RIGHT_ELBOW.rot,JOINT_RIGHT_WRIST.x,JOINT_RIGHT_WRIST.y,JOINT_RIGHT_WRIST.z,JOINT_RIGHT_HAND.x,JOINT_RIGHT_HAND.y,JOINT_RIGHT_HAND.z,JOINT_LEFT_HIP.x,JOINT_LEFT_HIP.y,JOINT_LEFT_HIP.z,JOINT_LEFT_HIP.rot,JOINT_LEFT_KNEE.x,JOINT_LEFT_KNEE.y,JOINT_LEFT_KNEE.z,JOINT_LEFT_KNEE.rot,JOINT_LEFT_ANKLE.x,JOINT_LEFT_ANKLE.y,JOINT_LEFT_ANKLE.z,JOINT_RIGHT_HIP.x,JOINT_RIGHT_HIP.y,JOINT_RIGHT_HIP.z,JOINT_RIGHT_HIP.rot,JOINT_RIGHT_KNEE.x,JOINT_RIGHT_KNEE.y,JOINT_RIGHT_KNEE.z,JOINT_RIGHT_KNEE.rot,JOINT_RIGHT_ANKLE.x,JOINT_RIGHT_ANKLE.y,JOINT_RIGHT_ANKLE.z
12032990678269,020936151947,1,-0.127565,0.199654,2.33378,-0.121033,0.40857,2.38192,178.885,-0.116736,0.772708,2.3868,174.126,-0.128598,0.903108,2.36763,-0.117781,0.684142,2.38561,-0.117781,0.684142,2.38561,0.0596815,0.681493,2.38551,103.571,0.123976,0.396549,2.34974,165.562,0.117852,0.192949,2.14154,0.116628,0.152229,2.0999,-0.288181,0.675215,2.41018,104.026,-0.344362,0.386931,2.39171,168.919,-0.344167,0.180039,2.18668,-0.344128,0.138661,2.14568,-0.0223774,0.163353,2.32335,107.896,-0.030548,-0.245628,2.16278,177.686,-0.0217036,-0.678883,2.04208,-0.235178,0.169021,2.3379,112.225,-0.277928,-0.216052,2.13052,177.316,-0.304472,-0.632076,1.96148
12032990678269,020936151947,1,-0.127565,0.199654,2.33378,-0.121033,0.40857,2.38192,178.885,-0.116736,0.772708,2.3868,174.126,-0.128598,0.903108,2.36763,-0.117781,0.684142,2.38561,-0.117781,0.684142,2.38561,0.0596815,0.681493,2.38551,103.571,0.123976,0.396549,2.34974,165.562,0.117852,0.192949,2.14154,0.116628,0.152229,2.0999,-0.288181,0.675215,2.41018,104.026,-0.344362,0.386931,2.39171,168.919,-0.344167,0.180039,2.18668,-0.344128,0.138661,2.14568,-0.0223774,0.163353,2.32335,107.896,-0.030548,-0.245628,2.16278,177.686,-0.0217036,-0.678883,2.04208,-0.235178,0.169021,2.3379,112.225,-0.277928,-0.216052,2.13052,177.316,-0.304472,-0.632076,1.96148
12032991347062,020936151947,1,-0.125134,0.200803,2.33725,-0.11861,0.409061,2.38818,178.785,-0.114928,0.77275,2.39151,173.4,-0.128469,0.901159,2.36819,-0.115825,0.684177,2.3907,-0.115825,0.684177,2.3907,0.0609395,0.680647,2.39093,103.692,0.124243,0.396226,2.35019,166.463,0.120454,0.176837,2.16128,0.119696,0.132959,2.1235,-0.287027,0.676075,2.41268,103.776,-0.343454,0.387572,2.40065,168.532,-0.34192,0.168825,2.21097,-0.341613,0.125075,2.17303,-0.0207314,0.164256,2.32413,107.522,-0.0333676,-0.244334,2.16285,176.768,-0.0222946,-0.678486,2.04258,-0.233454,0.173118,2.3382,110.189,-0.273397,-0.216605,2.1391,178.236,-0.304135,-0.64674,2.00828
12032991347062,020936151947,1,-0.125134,0.200803,2.33725,-0.11861,0.409061,2.38818,178.785,-0.114928,0.77275,2.39151,173.4,-0.128469,0.901159,2.36819,-0.115825,0.684177,2.3907,-0.115825,0.684177,2.3907,0.0609395,0.680647,2.39093,103.692,0.124243,0.396226,2.35019,166.463,0.120454,0.176837,2.16128,0.119696,0.132959,2.1235,-0.287027,0.676075,2.41268,103.776,-0.343454,0.387572,2.40065,168.532,-0.34192,0.168825,2.21097,-0.341613,0.125075,2.17303,-0.0207314,0.164256,2.32413,107.522,-0.0333676,-0.244334,2.16285,176.768,-0.0222946,-0.678486,2.04258,-0.233454,0.173118,2.3382,110.189,-0.273397,-0.216605,2.1391,178.236,-0.304135,-0.64674,2.00828
12032991677668,020936151947,1,-0.124871,0.200988,2.33792,-0.118286,0.409254,2.38881,178.716,-0.114941,0.772752,2.39249,172.975,-0.129489,0.900481,2.3683,-0.115756,0.684179,2.39159,-0.115756,0.684179,2.39159,0.0607381,0.680509,2.39143,103.277,0.121757,0.395547,2.35117,167.559,0.120352,0.168927,2.17108,0.12007,0.123602,2.13506,-0.287082,0.676213,2.41299,103.974,-0.34473,0.388013,2.40016,168.118,-0.34249,0.163089,2.21795,-0.342042,0.118104,2.18151,-0.0205215,0.165079,2.32481,106.979,-0.0348546,-0.243276,2.16306,176.358,-0.0224728,-0.677961,2.0434,-0.232745,0.172969,2.33828,109.991,-0.269968,-0.218573,2.14225,178.984,-0.30324,-0.649542,2.01348
12032992017324,020936151947,1,-0.125419,0.20117,2.33822,-0.119485,0.409451,2.38913,179.053,-0.115143,0.772751,2.39336,172.084,-0.131577,0.902278,2.36765,-0.116202,0.684182,2.39233,-0.116202,0.684182,2.39233,0.0592089,0.678963,2.39163,103.223,0.117455,0.393161,2.35342,169.075,0.119908,0.15659,2.18633,0.120399,0.109275,2.15291,-0.287435,0.677146,2.41268,103.891,-0.346218,0.389202,2.39971,167.778,-0.343466,0.158435,2.22469,-0.342915,0.112281,2.18969,-0.0209786,0.166139,2.32581,106.343,-0.0366499,-0.242006,2.16366,175.909,-0.0222732,-0.677116,2.04419,-0.232936,0.17302,2.3384,109.579,-0.266884,-0.222331,2.14954,179.629,-0.30103,-0.652587,2.0172
12032992348347,020936151947,1,-0.126726,0.201313,2.33836,-0.121769,0.409684,2.38901,179.325,-0.117408,0.772749,2.3937,171.858,-0.134529,0.903622,2.36674,-0.118472,0.684181,2.39256,-0.118472,0.684181,2.39256,0.0560478,0.6781,2.39168,103.198,0.112821,0.391417,2.35828,170.426,0.119656,0.15096,2.19575,0.121023,0.102869,2.16325,-0.289645,0.677613,2.41195,103.821,-0.348857,0.38976,2.39931,167.552,-0.345499,0.156342,2.22672,-0.344827,0.109658,2.1922,-0.0222448,0.1666,2.32699,106.306,-0.0370001,-0.241222,2.16394,175.808,-0.0208887,-0.676558,2.04425,-0.233969,0.172781,2.33853,109.698,-0.267344,-0.224709,2.15412,178.87,-0.295035,-0.656499,2.02415
12032992678649,020936151947,1,-0.130159,0.201463,2.33849,-0.127138,0.409953,2.3888,179.729,-0.123593,0.772745,2.39386,172.204,-0.140339,0.904636,2.36615,-0.124458,0.684176,2.39263,-0.124458,0.684176,2.39263,0.0483196,0.676353,2.39176,103.064,0.100624,0.393342,2.367,173.501,0.117594,0.148953,2.2107,0.120988,0.100075,2.17944,-0.296084,0.678916,2.41097,103.062,-0.352666,0.395927,2.39834,167.644,-0.348319,0.158535,2.2308,-0.34745,0.111056,2.19729,-0.0251049,0.167661,2.32827,106.078,-0.0376114,-0.239898,2.16438,175.912,-0.0198912,-0.675425,2.04448,-0.237335,0.172124,2.33864,109.651,-0.267657,-0.227236,2.15777,178.003,-0.285374,-0.659892,2.02789
12032993018498,020936151947,1,-0.13725,0.201661,2.33865,-0.136443,0.410262,2.38858,179.568,-0.132308,0.772741,2.39393,172.3,-0.148688,0.905264,2.36576,-0.133319,0.684175,2.39262,-0.133319,0.684175,2.39262,0.0376958,0.674439,2.39185,102.837,0.0851697,0.393127,2.37554,176.531,0.111308,0.148951,2.22192,0.116536,0.100116,2.1912,-0.304175,0.679087,2.41006,103.976,-0.364835,0.400181,2.39636,165.031,-0.35349,0.159494,2.2356,-0.35122,0.111357,2.20345,-0.0309147,0.169211,2.33,105.927,-0.0383327,-0.238071,2.16511,176.428,-0.0191031,-0.673477,2.04448,-0.244626,0.170794,2.3388,109.316,-0.267627,-0.230888,2.16204,178.678,-0.282392,-0.66349,2.03113
12032993347188,020936151947,1,-0.148482,0.201797,2.33871,-0.147231,0.41051,2.38817,179.481,-0.141778,0.772738,2.39395,173.395,-0.155176,0.905971,2.36593,-0.143111,0.684177,2.39254,-0.143111,0.684177,2.39254,0.029748,0.677257,2.39452,102.439,0.0795138,0.399189,2.38355,173.733,0.0961836,0.153394,2.23141,0.0995176,0.104235,2.20098,-0.312372,0.676018,2.40296,106.815,-0.380979,0.401971,2.39248,162.731,-0.367272,0.157897,2.2373,-0.364531,0.109083,2.20627,-0.0406017,0.17043,2.33183,106.515,-0.0384516,-0.236471,2.16585,177.74,-0.0189661,-0.671767,2.04461,-0.256507,0.170144,2.33896,107.776,-0.266697,-0.233855,2.16633,179.229,-0.283431,-0.666217,2.03463
